Cuisine,Rank,Frequency
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,167,3
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,168,2
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,169,1
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
chinese,170,0
mexican,1,5060
mexican,2,3046
mexican,3,2965
mexican,4,2340
mexican,5,2070
mexican,6,1969
mexican,7,1721
mexican,8,1402
mexican,9,1338
mexican,10,1094
mexican,11,1001
mexican,12,967
mexican,13,964
mexican,14,956
mexican,15,945
mexican,16,935
mexican,17,824
mexican,18,741
mexican,19,730
mexican,20,709
mexican,21,692
mexican,22,691
mexican,22,691
mexican,23,688
mexican,24,685
mexican,25,677
mexican,26,673
mexican,27,639
mexican,28,569
mexican,29,538
mexican,30,526
mexican,31,523
mexican,32,471
mexican,33,469
mexican,33,469
mexican,34,463
mexican,34,463
mexican,35,424
mexican,36,413
mexican,37,405
mexican,38,402
mexican,39,384
mexican,40,357
mexican,41,345
mexican,42,338
mexican,43,323
mexican,44,318
mexican,45,300
mexican,46,297
mexican,47,296
mexican,48,292
mexican,49,290
mexican,50,287
mexican,51,282
mexican,52,273
mexican,53,271
mexican,54,266
mexican,55,262
mexican,56,261
mexican,57,252
mexican,58,245
mexican,59,242
mexican,60,237
mexican,61,236
mexican,62,235
mexican,63,222
mexican,63,222
mexican,64,221
mexican,65,217
mexican,66,208
mexican,67,206
mexican,68,204
mexican,69,203
mexican,69,203
mexican,70,198
mexican,70,198
mexican,71,194
mexican,72,184
mexican,73,183
mexican,74,181
mexican,75,179
mexican,76,176
mexican,76,176
mexican,77,174
mexican,78,172
mexican,79,171
mexican,80,165
mexican,81,164
mexican,82,162
mexican,83,160
mexican,84,157
mexican,84,157
mexican,85,151
mexican,86,147
mexican,87,146
mexican,88,145
mexican,89,143
mexican,90,142
mexican,91,140
mexican,92,137
mexican,92,137
mexican,93,132
mexican,94,131
mexican,95,128
mexican,96,125
mexican,96,125
mexican,96,125
mexican,97,123
mexican,97,123
mexican,98,121
mexican,98,121
mexican,99,120
mexican,99,120
mexican,100,115
mexican,101,106
mexican,102,104
mexican,103,102
mexican,103,102
mexican,104,100
mexican,104,100
mexican,105,99
mexican,105,99
mexican,106,97
mexican,106,97
mexican,106,97
mexican,107,95
mexican,107,95
mexican,107,95
mexican,108,94
mexican,109,92
mexican,109,92
mexican,110,90
mexican,111,89
mexican,112,88
mexican,113,87
mexican,114,86
mexican,114,86
mexican,115,83
mexican,116,81
mexican,116,81
mexican,117,79
mexican,118,75
mexican,119,74
mexican,119,74
mexican,120,73
mexican,120,73
mexican,121,72
mexican,122,71
mexican,123,70
mexican,124,69
mexican,125,68
mexican,126,66
mexican,126,66
mexican,126,66
mexican,127,65
mexican,127,65
mexican,127,65
mexican,128,64
mexican,128,64
mexican,129,63
mexican,129,63
mexican,129,63
mexican,129,63
mexican,130,62
mexican,130,62
mexican,130,62
mexican,131,61
mexican,132,60
mexican,132,60
mexican,133,58
mexican,133,58
mexican,133,58
mexican,134,57
mexican,135,56
mexican,135,56
mexican,135,56
mexican,136,55
mexican,137,54
mexican,137,54
mexican,138,53
mexican,138,53
mexican,138,53
mexican,138,53
mexican,139,52
mexican,140,51
mexican,140,51
mexican,140,51
mexican,141,50
mexican,141,50
mexican,141,50
mexican,141,50
mexican,142,49
mexican,143,48
mexican,144,47
mexican,144,47
mexican,145,46
mexican,145,46
mexican,145,46
mexican,146,45
mexican,146,45
mexican,147,43
mexican,148,42
mexican,148,42
mexican,149,41
mexican,149,41
mexican,149,41
mexican,150,40
mexican,151,39
mexican,151,39
mexican,151,39
mexican,151,39
mexican,152,38
mexican,153,37
mexican,153,37
mexican,154,35
mexican,154,35
mexican,154,35
mexican,154,35
mexican,155,34
mexican,156,33
mexican,156,33
mexican,156,33
mexican,156,33
mexican,156,33
mexican,157,32
mexican,157,32
mexican,158,31
mexican,158,31
mexican,158,31
mexican,159,30
mexican,159,30
mexican,159,30
mexican,160,29
mexican,160,29
mexican,160,29
mexican,160,29
mexican,161,28
mexican,161,28
mexican,161,28
mexican,161,28
mexican,161,28
mexican,161,28
mexican,162,27
mexican,162,27
mexican,162,27
mexican,163,26
mexican,163,26
mexican,163,26
mexican,163,26
mexican,163,26
mexican,163,26
mexican,163,26
mexican,164,25
mexican,164,25
mexican,164,25
mexican,165,24
mexican,165,24
mexican,165,24
mexican,165,24
mexican,165,24
mexican,166,23
mexican,166,23
mexican,166,23
mexican,166,23
mexican,166,23
mexican,166,23
mexican,167,22
mexican,167,22
mexican,167,22
mexican,167,22
mexican,167,22
mexican,167,22
mexican,167,22
mexican,168,21
mexican,168,21
mexican,168,21
mexican,168,21
mexican,168,21
mexican,169,20
mexican,169,20
mexican,170,19
mexican,170,19
mexican,170,19
mexican,170,19
mexican,171,18
mexican,171,18
mexican,171,18
mexican,171,18
mexican,171,18
mexican,171,18
mexican,171,18
mexican,171,18
mexican,172,17
mexican,172,17
mexican,172,17
mexican,172,17
mexican,172,17
mexican,172,17
mexican,172,17
mexican,172,17
mexican,172,17
mexican,172,17
mexican,173,16
mexican,173,16
mexican,173,16
mexican,173,16
mexican,173,16
mexican,173,16
mexican,173,16
mexican,174,15
mexican,174,15
mexican,174,15
mexican,174,15
mexican,174,15
mexican,174,15
