Cuisine,closeness,betweeness
chinese,0.46161,1.3448e-06
chinese,0.52169,0.00015225
chinese,0.39611,0
chinese,0.3282,0
chinese,0.36987,6.7194e-06
chinese,0.4501,0
chinese,0.5422,0.00095685
chinese,0.48103,0
chinese,0.53846,0.00030852
chinese,0.36357,0
chinese,0.4776,0.0055178
chinese,0.57617,0.0032126
chinese,0.45358,0
chinese,0.58406,0.0069402
chinese,0.54726,0.0046592
chinese,0.53114,0.00016471
chinese,0.4845,0
chinese,0.42025,3.5424e-05
chinese,0.49525,0
chinese,0.41213,0
chinese,0.53235,0.00020457
chinese,0.47857,5.5491e-07
chinese,0.77907,0.12003
chinese,0.37853,1.1039e-05
chinese,0.53539,0.00039659
chinese,0.49894,0.00052591
chinese,0.48803,1.2149e-07
chinese,0.58045,0.0077761
chinese,0.49735,3.8633e-05
chinese,0.48702,1.9074e-06
chinese,0.44413,0
chinese,0.43832,0
chinese,0.58189,0.0036309
chinese,0.42988,0
chinese,0.4598,0
chinese,0.46116,0
chinese,0.41068,0
chinese,0.52344,0.00050878
chinese,0.43832,0
chinese,0.49473,9.7739e-06
chinese,0.51034,4.7264e-05
chinese,0.5397,0.0016338
chinese,0.57195,0.0039974
chinese,0.52637,0.00037871
chinese,0.3282,0
chinese,0.49473,6.2286e-07
chinese,0.47808,1.8561e-06
chinese,0.46344,6.9543e-05
chinese,0.56917,0.0060491
chinese,0.57265,0.0079639
chinese,0.48251,2.9177e-05
chinese,0.51538,4.3147e-05
chinese,0.47231,1.36e-07
chinese,0.51881,0.010204
chinese,0.58045,0.0027126
chinese,0.62202,0.0088831
chinese,0.469,2.5231e-06
chinese,0.40154,2.815e-05
chinese,0.48004,4.6685e-07
chinese,0.48103,1.3806e-07
chinese,0.49368,2.3586e-07
chinese,0.49788,9.0719e-05
chinese,0.51823,0.00017658
chinese,0.484,2.8157e-06
chinese,0.45712,0
chinese,0.47041,1.7528e-05
chinese,0.51425,0.00094825
chinese,0.4514,0
chinese,0.56848,0.0033102
chinese,0.49841,3.5826e-05
chinese,0.47326,0.004271
chinese,0.43832,0
chinese,0.48651,3.2362e-05
chinese,0.47183,4.3981e-06
chinese,0.48152,0
chinese,0.32889,0
chinese,0.44413,0
chinese,0.4488,1.2398e-05
chinese,0.51089,0.0021217
chinese,0.40051,0
chinese,0.48702,8.5433e-05
chinese,0.52227,4.1037e-05
chinese,0.48201,7.1687e-06
chinese,0.60516,0.011341
chinese,0.51369,0.00038418
chinese,0.46436,0
chinese,0.60438,0.0062329
chinese,0.54095,0.00029104
chinese,0.46436,0
chinese,0.48053,0
chinese,0.41213,5.4858e-05
chinese,0.45846,0
chinese,0.49317,1.1053e-06
chinese,0.48152,6.8511e-08
chinese,0.53295,0.0010067
chinese,0.47614,0
chinese,0.54726,0.00074766
chinese,0.47518,0
chinese,0.48651,1.1983e-06
chinese,0.42443,6.3226e-05
chinese,0.53723,0.0010404
chinese,0.47231,0
chinese,0.45712,0
chinese,0.41652,0.00035901
chinese,0.51938,0.012351
chinese,0.43955,0.00019813
chinese,0.44752,0
chinese,0.5,4.5863e-06
chinese,0.56506,0.0016704
chinese,0.484,0.00011933
chinese,0.62367,0.012536
chinese,0.48551,3.2499e-07
chinese,0.47422,1.0461e-05
chinese,0.53908,0.0015823
chinese,0.47041,0
chinese,0.45712,0
chinese,0.40571,1.9727e-06
chinese,0.44287,0
chinese,0.33596,0
chinese,0.58772,0.0034918
chinese,0.469,0
chinese,0.39116,0.0043013
chinese,0.48601,3.6228e-07
chinese,0.49473,0.00031055
chinese,0.48601,1.1682e-07
chinese,0.3876,1.2774e-06
chinese,0.47614,1.7493e-06
chinese,0.5016,4.2443e-06
chinese,0.60751,0.0091003
chinese,0.39445,0
chinese,0.51938,0.00010721
chinese,0.47231,0
chinese,0.49213,0
chinese,0.46436,0
chinese,0.5,1.2774e-05
chinese,0.36929,2.0249e-06
chinese,0.56574,0.0016273
chinese,0.44204,0
chinese,0.46161,3.5474e-05
chinese,0.45935,0
chinese,0.39881,0.00039181
chinese,0.48351,0
chinese,0.4845,0.00062588
chinese,0.49788,1.5852e-05
chinese,0.49473,8.5402e-06
chinese,0.45756,0
chinese,0.48601,3.1172e-07
chinese,0.51201,0.00020262
chinese,0.45801,0
chinese,0.48905,1.4382e-07
chinese,0.38889,0
chinese,0.51369,0.0048361
chinese,0.46071,0
chinese,0.46436,0
chinese,0.37853,0
chinese,0.46853,9.0001e-05
chinese,0.43832,0
chinese,0.4598,6.3668e-06
chinese,0.3743,3.3416e-05
chinese,0.48956,0.0044044
chinese,0.58846,0.010566
chinese,0.44413,0
chinese,0.51652,0.00020504
chinese,0.49894,8.1081e-06
chinese,0.48251,2.1095e-05
chinese,0.44923,0
chinese,0.51595,0.00036171
chinese,0.48004,2.4259e-06
chinese,0.54032,0.00035457
chinese,0.28134,0
chinese,0.54157,0.0024494
chinese,0.32345,0
chinese,0.51089,2.4844e-05
mexican,0.47454,0
mexican,0.45597,0
mexican,0.45957,7.0998e-07
mexican,0.47697,0
mexican,0.58032,0.0059714
mexican,0.38417,0
mexican,0.476,0
mexican,0.53873,0.00053169
mexican,0.54695,0.00065308
mexican,0.51606,2.8839e-05
mexican,0.35223,0
mexican,0.43188,0
mexican,0.4731,0
mexican,0.47992,0.0042918
mexican,0.47697,6.6242e-07
mexican,0.48091,1.8098e-07
mexican,0.47648,0
mexican,0.38322,0
mexican,0.55018,0.0011496
mexican,0.40069,0
mexican,0.58543,0.0036112
mexican,0.50763,0.0044115
mexican,0.57816,0.0038861
mexican,0.56145,0.0012688
mexican,0.46139,0
mexican,0.4824,3.5618e-07
mexican,0.44129,0
mexican,0.47454,2.8472e-05
mexican,0.40699,0
mexican,0.58913,0.002946
mexican,0.44508,2.4041e-06
mexican,0.53687,0.0046633
mexican,0.51492,1.1265e-05
mexican,0.51778,0.00032264
mexican,0.48491,0
mexican,0.40557,0
mexican,0.52775,0.0003783
mexican,0.44593,0
mexican,0.4895,1.0033e-05
mexican,0.45642,0
mexican,0.47406,0
mexican,0.40557,0
mexican,0.45821,0
mexican,0.46787,1.5383e-06
mexican,0.49208,1.7395e-06
mexican,0.44004,0
mexican,0.49417,0
mexican,0.49312,1.4019e-05
mexican,0.61478,0.020588
mexican,0.49364,0.00019828
mexican,0.47214,0
mexican,0.47071,0
mexican,0.64099,0.040893
mexican,0.49627,5.7495e-05
mexican,0.56968,0.0017686
mexican,0.47893,9.2298e-07
mexican,0.54503,0.0012155
mexican,0.39425,2.6023e-06
mexican,0.54567,0.0054764
mexican,0.49733,1.6538e-05
mexican,0.48643,0
mexican,0.72248,0.079024
mexican,0.34959,0
mexican,0.47992,0
mexican,0.49786,2.1486e-05
mexican,0.49522,5.526e-07
mexican,0.44255,1.3456e-06
mexican,0.44808,0
mexican,0.46368,3.5499e-07
mexican,0.52125,0.00029617
mexican,0.54186,0.0020967
mexican,0.48796,2.9887e-07
mexican,0.50324,1.0874e-06
mexican,0.43188,0
mexican,0.47406,0
mexican,0.35223,0
mexican,0.41385,0
mexican,0.46553,0
mexican,0.52009,0.00036319
mexican,0.45155,0
mexican,0.46139,0.00011748
mexican,0.51153,0.00023139
mexican,0.41982,0
mexican,0.50985,5.0732e-05
mexican,0.55742,0.0053721
mexican,0.61559,0.0085377
mexican,0.57038,0.0030571
mexican,0.42557,0
mexican,0.50597,0.00012597
mexican,0.57888,0.0079393
mexican,0.51835,8.5622e-05
mexican,0.40841,0
mexican,0.49156,9.7629e-06
mexican,0.48592,2.5828e-05
mexican,0.52537,0.00013201
mexican,0.49208,0
mexican,0.43715,0
