Cuisine,degree,betweeness
chinese,0.0042644,0
chinese,0.012793,3.5474e-05
chinese,0.0063966,0
chinese,0.034115,0.00039181
chinese,0.036247,0
chinese,0.034115,0.00062588
chinese,0.051173,1.5852e-05
chinese,0.06823,8.5402e-06
chinese,0.0085288,0
chinese,0.042644,3.1172e-07
chinese,0.095949,0.00020262
chinese,0.0063966,0
chinese,0.063966,1.4382e-07
chinese,0.0042644,0
chinese,0.093817,0.0048361
chinese,0.010661,0
chinese,0.0063966,0
chinese,0.0021322,0
chinese,0.021322,9.0001e-05
chinese,0.0021322,0
chinese,0.023454,6.3668e-06
chinese,0.014925,3.3416e-05
chinese,0.061834,0.0044044
chinese,0.33262,0.010566
chinese,0.0042644,0
chinese,0.10661,0.00020504
chinese,0.078891,8.1081e-06
chinese,0.040512,2.1095e-05
chinese,0.012793,0
chinese,0.095949,0.00036171
chinese,0.021322,2.4259e-06
chinese,0.1855,0.00035457
chinese,0.0021322,0
chinese,0.1855,0.0024494
chinese,0.0021322,0
chinese,0.098081,2.4844e-05
mexican,0.012876,0
mexican,0.0042918,0
mexican,0.015021,7.0998e-07
mexican,0.012876,0
mexican,0.30043,0.0059714
mexican,0.0021459,0
mexican,0.021459,0
mexican,0.17811,0.00053169
mexican,0.20172,0.00065308
mexican,0.1073,2.8839e-05
mexican,0.0042918,0
mexican,0.0042918,0
mexican,0.023605,0
mexican,0.027897,0.0042918
mexican,0.036481,6.6242e-07
mexican,0.027897,1.8098e-07
mexican,0.019313,0
mexican,0.0021459,0
mexican,0.20172,0.0011496
mexican,0.0064378,0
mexican,0.30687,0.0036112
mexican,0.11588,0.0044115
mexican,0.29185,0.0038861
mexican,0.23176,0.0012688
mexican,0.012876,0
mexican,0.030043,3.5618e-07
mexican,0.0085837,0
mexican,0.023605,2.8472e-05
mexican,0.0064378,0
mexican,0.31974,0.002946
mexican,0.021459,2.4041e-06
mexican,0.17597,0.0046633
mexican,0.087983,1.1265e-05
mexican,0.11588,0.00032264
mexican,0.030043,0
mexican,0.017167,0
mexican,0.13519,0.0003783
mexican,0.0085837,0
mexican,0.040773,1.0033e-05
mexican,0.012876,0
mexican,0.015021,0
mexican,0.0085837,0
mexican,0.021459,0
mexican,0.012876,1.5383e-06
mexican,0.049356,1.7395e-06
mexican,0.012876,0
mexican,0.042918,0
mexican,0.06867,1.4019e-05
mexican,0.39056,0.020588
mexican,0.062232,0.00019828
mexican,0.030043,0
mexican,0.017167,0
mexican,0.45923,0.040893
mexican,0.075107,5.7495e-05
mexican,0.26609,0.0017686
mexican,0.032189,9.2298e-07
mexican,0.19742,0.0012155
mexican,0.0064378,2.6023e-06
mexican,0.19099,0.0054764
mexican,0.05794,1.6538e-05
mexican,0.025751,0
mexican,0.62232,0.079024
mexican,0.0021459,0
mexican,0.019313,0
mexican,0.055794,2.1486e-05
mexican,0.064378,5.526e-07
mexican,0.019313,1.3456e-06
mexican,0.0021459,0
mexican,0.01073,3.5499e-07
mexican,0.12017,0.00029617
mexican,0.19099,0.0020967
mexican,0.042918,2.9887e-07
mexican,0.066524,1.0874e-06
mexican,0.0085837,0
mexican,0.01073,0
mexican,0.0042918,0
mexican,0.0021459,0
mexican,0.017167,0
mexican,0.11803,0.00036319
mexican,0.0042918,0
mexican,0.0085837,0.00011748
