Cuisine,degree,closeness
chinese,0.010661,0.45358
chinese,0.31343,0.58406
chinese,0.19403,0.54726
chinese,0.16205,0.53114
chinese,0.044776,0.4845
chinese,0.014925,0.42025
chinese,0.044776,0.49525
chinese,0.0063966,0.41213
chinese,0.16418,0.53235
chinese,0.023454,0.47857
chinese,0.72495,0.77907
chinese,0.010661,0.37853
chinese,0.18124,0.53539
chinese,0.074627,0.49894
chinese,0.049041,0.48803
chinese,0.29638,0.58045
chinese,0.053305,0.49735
chinese,0.051173,0.48702
chinese,0.0042644,0.44413
chinese,0.0021322,0.43832
chinese,0.31557,0.58189
chinese,0.0042644,0.42988
chinese,0.0085288,0.4598
chinese,0.0063966,0.46116
chinese,0.0042644,0.41068
chinese,0.13646,0.52344
chinese,0.0021322,0.43832
chinese,0.057569,0.49473
chinese,0.098081,0.51034
chinese,0.18124,0.5397
chinese,0.27505,0.57195
chinese,0.14925,0.52637
chinese,0.0021322,0.3282
chinese,0.046908,0.49473
chinese,0.027719,0.47808
chinese,0.021322,0.46344
chinese,0.27505,0.56917
chinese,0.27505,0.57265
chinese,0.034115,0.48251
chinese,0.11727,0.51538
chinese,0.01919,0.47231
chinese,0.11514,0.51881
chinese,0.3113,0.58045
chinese,0.40938,0.62202
chinese,0.034115,0.469
chinese,0.0085288,0.40154
chinese,0.025586,0.48004
chinese,0.034115,0.48103
chinese,0.066098,0.49368
chinese,0.055437,0.49788
chinese,0.12367,0.51823
chinese,0.03838,0.484
chinese,0.0042644,0.45712
chinese,0.021322,0.47041
chinese,0.10661,0.51425
chinese,0.0042644,0.4514
chinese,0.26013,0.56848
chinese,0.063966,0.49841
chinese,0.029851,0.47326
chinese,0.0021322,0.43832
chinese,0.029851,0.48651
chinese,0.027719,0.47183
chinese,0.021322,0.48152
chinese,0.0021322,0.32889
chinese,0.0042644,0.44413
chinese,0.014925,0.4488
chinese,0.091684,0.51089
chinese,0.0085288,0.40051
chinese,0.057569,0.48702
chinese,0.1258,0.52227
chinese,0.042644,0.48201
chinese,0.36247,0.60516
chinese,0.11087,0.51369
chinese,0.0063966,0.46436
chinese,0.36887,0.60438
chinese,0.19403,0.54095
chinese,0.012793,0.46436
chinese,0.027719,0.48053
chinese,0.017058,0.41213
chinese,0.0063966,0.45846
chinese,0.06823,0.49317
chinese,0.040512,0.48152
chinese,0.15991,0.53295
chinese,0.021322,0.47614
chinese,0.20896,0.54726
chinese,0.021322,0.47518
chinese,0.051173,0.48651
chinese,0.034115,0.42443
chinese,0.17271,0.53723
chinese,0.014925,0.47231
chinese,0.0042644,0.45712
chinese,0.031983,0.41652
chinese,0.13006,0.51938
chinese,0.036247,0.43955
chinese,0.0063966,0.44752
chinese,0.063966,0.5
chinese,0.26013,0.56506
chinese,0.034115,0.484
chinese,0.41791,0.62367
chinese,0.044776,0.48551
chinese,0.023454,0.47422
chinese,0.17271,0.53908
chinese,0.014925,0.47041
chinese,0.0063966,0.45712
chinese,0.014925,0.40571
chinese,0.0021322,0.44287
chinese,0.0021322,0.33596
chinese,0.33049,0.58772
chinese,0.014925,0.469
chinese,0.01919,0.39116
chinese,0.044776,0.48601
chinese,0.063966,0.49473
chinese,0.025586,0.48601
chinese,0.0063966,0.3876
chinese,0.023454,0.47614
chinese,0.078891,0.5016
chinese,0.37527,0.60751
chinese,0.0042644,0.39445
chinese,0.10874,0.51938
chinese,0.021322,0.47231
chinese,0.040512,0.49213
chinese,0.0063966,0.46436
chinese,0.059701,0.5
chinese,0.0063966,0.36929
chinese,0.27079,0.56574
chinese,0.0042644,0.44204
chinese,0.012793,0.46161
chinese,0.0063966,0.45935
chinese,0.034115,0.39881
chinese,0.036247,0.48351
chinese,0.034115,0.4845
chinese,0.051173,0.49788
chinese,0.06823,0.49473
chinese,0.0085288,0.45756
chinese,0.042644,0.48601
chinese,0.095949,0.51201
chinese,0.0063966,0.45801
chinese,0.063966,0.48905
chinese,0.0042644,0.38889
chinese,0.093817,0.51369
chinese,0.010661,0.46071
chinese,0.0063966,0.46436
chinese,0.0021322,0.37853
chinese,0.021322,0.46853
chinese,0.0021322,0.43832
chinese,0.023454,0.4598
chinese,0.014925,0.3743
chinese,0.061834,0.48956
chinese,0.33262,0.58846
chinese,0.0042644,0.44413
chinese,0.10661,0.51652
chinese,0.078891,0.49894
chinese,0.040512,0.48251
chinese,0.012793,0.44923
chinese,0.095949,0.51595
chinese,0.021322,0.48004
chinese,0.1855,0.54032
chinese,0.0021322,0.28134
chinese,0.1855,0.54157
chinese,0.0021322,0.32345
chinese,0.098081,0.51089
mexican,0.012876,0.47454
mexican,0.0042918,0.45597
mexican,0.015021,0.45957
mexican,0.012876,0.47697
mexican,0.30043,0.58032
mexican,0.0021459,0.38417
mexican,0.021459,0.476
mexican,0.17811,0.53873
mexican,0.20172,0.54695
mexican,0.1073,0.51606
mexican,0.0042918,0.35223
mexican,0.0042918,0.43188
mexican,0.023605,0.4731
mexican,0.027897,0.47992
mexican,0.036481,0.47697
mexican,0.027897,0.48091
mexican,0.019313,0.47648
mexican,0.0021459,0.38322
mexican,0.20172,0.55018
mexican,0.0064378,0.40069
mexican,0.30687,0.58543
mexican,0.11588,0.50763
mexican,0.29185,0.57816
mexican,0.23176,0.56145
mexican,0.012876,0.46139
mexican,0.030043,0.4824
mexican,0.0085837,0.44129
mexican,0.023605,0.47454
mexican,0.0064378,0.40699
mexican,0.31974,0.58913
mexican,0.021459,0.44508
mexican,0.17597,0.53687
mexican,0.087983,0.51492
mexican,0.11588,0.51778
mexican,0.030043,0.48491
mexican,0.017167,0.40557
mexican,0.13519,0.52775
mexican,0.0085837,0.44593
mexican,0.040773,0.4895
mexican,0.012876,0.45642
mexican,0.015021,0.47406
mexican,0.0085837,0.40557
mexican,0.021459,0.45821
mexican,0.012876,0.46787
mexican,0.049356,0.49208
mexican,0.012876,0.44004
mexican,0.042918,0.49417
mexican,0.06867,0.49312
mexican,0.39056,0.61478
mexican,0.062232,0.49364
mexican,0.030043,0.47214
mexican,0.017167,0.47071
mexican,0.45923,0.64099
mexican,0.075107,0.49627
mexican,0.26609,0.56968
mexican,0.032189,0.47893
mexican,0.19742,0.54503
mexican,0.0064378,0.39425
mexican,0.19099,0.54567
mexican,0.05794,0.49733
mexican,0.025751,0.48643
mexican,0.62232,0.72248
mexican,0.0021459,0.34959
mexican,0.019313,0.47992
mexican,0.055794,0.49786
mexican,0.064378,0.49522
mexican,0.019313,0.44255
mexican,0.0021459,0.44808
mexican,0.01073,0.46368
mexican,0.12017,0.52125
mexican,0.19099,0.54186
mexican,0.042918,0.48796
mexican,0.066524,0.50324
mexican,0.0085837,0.43188
mexican,0.01073,0.47406
mexican,0.0042918,0.35223
mexican,0.0021459,0.41385
mexican,0.017167,0.46553
mexican,0.11803,0.52009
mexican,0.0042918,0.45155
mexican,0.0085837,0.46139
mexican,0.096567,0.51153
mexican,0.0021459,0.41982
mexican,0.094421,0.50985
mexican,0.22747,0.55742
mexican,0.38627,0.61559
mexican,0.27039,0.57038
mexican,0.0042918,0.42557
