Cuisine, Rank, Value
indian,1001,0.008547
indian,1002,0.008547
indian,1003,0.008547
indian,1004,0.008547
indian,1005,0.008547
indian,1006,0.0084249
indian,1007,0.0084249
indian,1008,0.0084249
indian,1009,0.0084249
indian,1010,0.0084249
indian,1011,0.0084249
indian,1012,0.0084249
indian,1013,0.0084249
indian,1014,0.0084249
indian,1015,0.0084249
indian,1016,0.0084249
indian,1017,0.0083028
indian,1018,0.0083028
indian,1019,0.0083028
indian,1020,0.0083028
indian,1021,0.0083028
indian,1022,0.0083028
indian,1023,0.0083028
indian,1024,0.0083028
indian,1025,0.0081807
indian,1026,0.0081807
indian,1027,0.0081807
indian,1028,0.0081807
indian,1029,0.0081807
indian,1030,0.0081807
indian,1031,0.0081807
indian,1032,0.0081807
indian,1033,0.0081807
indian,1034,0.0080586
indian,1035,0.0080586
indian,1036,0.0080586
indian,1037,0.0080586
indian,1038,0.0080586
indian,1039,0.0080586
indian,1040,0.0080586
indian,1041,0.0080586
indian,1042,0.0080586
indian,1043,0.0080586
indian,1044,0.0080586
indian,1045,0.0080586
indian,1046,0.0080586
indian,1047,0.0080586
indian,1048,0.0080586
indian,1049,0.0080586
indian,1050,0.0080586
indian,1051,0.0080586
indian,1052,0.0079365
indian,1053,0.0079365
indian,1054,0.0079365
indian,1055,0.0079365
indian,1056,0.0079365
indian,1057,0.0079365
indian,1058,0.0079365
indian,1059,0.0079365
indian,1060,0.0079365
indian,1061,0.0079365
indian,1062,0.0079365
indian,1063,0.0079365
indian,1064,0.0079365
indian,1065,0.0079365
indian,1066,0.0079365
indian,1067,0.0079365
indian,1068,0.0079365
indian,1069,0.0079365
indian,1070,0.0079365
indian,1071,0.0078144
indian,1072,0.0078144
indian,1073,0.0078144
indian,1074,0.0078144
indian,1075,0.0078144
indian,1076,0.0078144
indian,1077,0.0078144
indian,1078,0.0078144
indian,1079,0.0078144
indian,1080,0.0078144
indian,1081,0.0076923
indian,1082,0.0076923
indian,1083,0.0076923
indian,1084,0.0076923
indian,1085,0.0076923
indian,1086,0.0076923
indian,1087,0.0076923
indian,1088,0.0076923
indian,1089,0.0076923
indian,1090,0.0076923
indian,1091,0.0076923
indian,1092,0.0076923
indian,1093,0.0076923
indian,1094,0.0076923
indian,1095,0.0076923
indian,1096,0.0075702
indian,1097,0.0075702
indian,1098,0.0075702
indian,1099,0.0075702
indian,1100,0.0075702
indian,1101,0.0075702
indian,1102,0.0075702
indian,1103,0.0075702
indian,1104,0.0075702
indian,1105,0.0075702
indian,1106,0.0075702
indian,1107,0.0075702
indian,1108,0.0075702
indian,1109,0.0075702
indian,1110,0.0074481
indian,1111,0.0074481
indian,1112,0.0074481
indian,1113,0.0074481
indian,1114,0.0074481
indian,1115,0.0074481
indian,1116,0.0074481
indian,1117,0.0074481
indian,1118,0.0074481
indian,1119,0.0074481
indian,1120,0.0074481
indian,1121,0.0074481
indian,1122,0.007326
indian,1123,0.007326
indian,1124,0.007326
indian,1125,0.007326
indian,1126,0.007326
indian,1127,0.007326
indian,1128,0.007326
indian,1129,0.007326
indian,1130,0.007326
indian,1131,0.007326
indian,1132,0.007326
indian,1133,0.007326
indian,1134,0.007326
indian,1135,0.007326
indian,1136,0.0072039
indian,1137,0.0072039
indian,1138,0.0072039
indian,1139,0.0072039
indian,1140,0.0072039
indian,1141,0.0072039
indian,1142,0.0072039
indian,1143,0.0072039
indian,1144,0.0072039
indian,1145,0.0072039
indian,1146,0.0072039
indian,1147,0.0072039
indian,1148,0.0072039
indian,1149,0.0072039
indian,1150,0.0072039
indian,1151,0.0070818
indian,1152,0.0070818
indian,1153,0.0070818
indian,1154,0.0070818
indian,1155,0.0070818
indian,1156,0.0070818
indian,1157,0.0070818
indian,1158,0.0070818
indian,1159,0.0070818
indian,1160,0.0070818
indian,1161,0.0070818
indian,1162,0.0070818
indian,1163,0.0069597
indian,1164,0.0069597
indian,1165,0.0069597
indian,1166,0.0069597
indian,1167,0.0069597
indian,1168,0.0069597
indian,1169,0.0069597
indian,1170,0.0069597
indian,1171,0.0069597
indian,1172,0.0069597
indian,1173,0.0069597
indian,1174,0.0069597
indian,1175,0.0069597
indian,1176,0.0069597
indian,1177,0.0069597
indian,1178,0.0069597
indian,1179,0.0069597
indian,1180,0.0069597
indian,1181,0.0068376
indian,1182,0.0068376
indian,1183,0.0068376
indian,1184,0.0068376
indian,1185,0.0068376
indian,1186,0.0068376
indian,1187,0.0068376
indian,1188,0.0068376
indian,1189,0.0068376
indian,1190,0.0068376
indian,1191,0.0067155
indian,1192,0.0067155
indian,1193,0.0067155
indian,1194,0.0067155
indian,1195,0.0067155
indian,1196,0.0067155
indian,1197,0.0067155
indian,1198,0.0067155
indian,1199,0.0067155
indian,1200,0.0067155
indian,1201,0.0067155
indian,1202,0.0067155
indian,1203,0.0067155
indian,1204,0.0067155
indian,1205,0.0067155
indian,1206,0.0067155
indian,1207,0.0067155
indian,1208,0.0065934
indian,1209,0.0065934
indian,1210,0.0065934
indian,1211,0.0065934
indian,1212,0.0065934
indian,1213,0.0065934
indian,1214,0.0065934
indian,1215,0.0065934
indian,1216,0.0065934
indian,1217,0.0065934
indian,1218,0.0065934
indian,1219,0.0065934
indian,1220,0.0065934
indian,1221,0.0065934
indian,1222,0.0065934
indian,1223,0.0065934
indian,1224,0.0065934
indian,1225,0.0065934
indian,1226,0.0065934
indian,1227,0.0065934
indian,1228,0.0065934
indian,1229,0.0065934
indian,1230,0.0065934
indian,1231,0.0064713
indian,1232,0.0064713
indian,1233,0.0064713
indian,1234,0.0064713
indian,1235,0.0064713
indian,1236,0.0064713
indian,1237,0.0064713
indian,1238,0.0064713
indian,1239,0.0064713
indian,1240,0.0064713
indian,1241,0.0064713
indian,1242,0.0064713
indian,1243,0.0064713
indian,1244,0.0064713
indian,1245,0.0064713
indian,1246,0.0064713
indian,1247,0.0064713
indian,1248,0.0063492
indian,1249,0.0063492
indian,1250,0.0063492
indian,1251,0.0063492
indian,1252,0.0063492
indian,1253,0.0063492
indian,1254,0.0063492
indian,1255,0.0063492
indian,1256,0.0063492
indian,1257,0.0063492
indian,1258,0.0063492
indian,1259,0.0063492
indian,1260,0.0063492
indian,1261,0.0063492
indian,1262,0.0063492
indian,1263,0.0063492
indian,1264,0.0063492
indian,1265,0.0063492
indian,1266,0.0063492
indian,1267,0.0063492
indian,1268,0.0063492
indian,1269,0.0062271
indian,1270,0.0062271
indian,1271,0.0062271
indian,1272,0.0062271
indian,1273,0.0062271
indian,1274,0.0062271
indian,1275,0.0062271
indian,1276,0.0062271
indian,1277,0.0062271
indian,1278,0.0062271
indian,1279,0.0062271
indian,1280,0.0062271
indian,1281,0.0062271
indian,1282,0.0062271
indian,1283,0.0062271
indian,1284,0.0062271
indian,1285,0.0062271
indian,1286,0.0062271
indian,1287,0.0062271
indian,1288,0.0062271
indian,1289,0.006105
indian,1290,0.006105
indian,1291,0.006105
indian,1292,0.006105
indian,1293,0.006105
indian,1294,0.006105
indian,1295,0.006105
indian,1296,0.006105
indian,1297,0.006105
indian,1298,0.006105
indian,1299,0.006105
indian,1300,0.006105
indian,1301,0.006105
indian,1302,0.006105
indian,1303,0.006105
indian,1304,0.006105
indian,1305,0.006105
indian,1306,0.006105
indian,1307,0.006105
indian,1308,0.0059829
indian,1309,0.0059829
indian,1310,0.0059829
indian,1311,0.0059829
indian,1312,0.0059829
indian,1313,0.0059829
indian,1314,0.0059829
indian,1315,0.0059829
indian,1316,0.0059829
indian,1317,0.0059829
indian,1318,0.0059829
indian,1319,0.0059829
indian,1320,0.0059829
